text,label
"Terimakasih, saya dapat informasi yg sangat berguna untuk memotivasi diri saya n anak didik, \\usalut atas kebijakan pak Mentri",positif
"bagus mas menteri, saya bangga",positif
ide sangat cemerlang n patut didukung oleh semua pihak,positif
bagus sih mari dicoba\\t,positif
"ayo sukseskan bersama kebijakan kampus merdeka, kebijakan keren nih fokus sama kehidupan pasca kampus nanti",positif
"luar biasa cara respon rencana solusi pelaksanaan program ini, Ayo terus mas mentri terus pada program Kampus Merdeka demi membangun n mewujudkan kualitas SDM terbaik utk anak bangsa",positif
"Suka bgt sama mba no 3, mewakilkan para anak PTS 😂",positif
"KITA akan menjadi leadership yg handal kedepan, itulah generasi yg kita harapkan anin,🙏,",positif
"KITA mendukung generasi mudanya INDONESIA, menjadi lebih baik n benar kedepannya, majulah terus KITA akan bahagia -😎😆sebagai SDM yg kwalitas tinggi 🙏👍,-",positif
"mantap pak menteri pendidikan 👍,😎🙏,-",positif
Asik asik ... Anak teknik punya kesempatan nikahin anak ekonomi n bahasa,positif
"Mas mentri kalo nyalonin jadi presiden, pasti gw pilih. kebijakannya keren",positif
"KITA akan menjadi leadership yg handal kedepan, itulah generasi yg kita harapkan anin,🙏,",positif
"KITA mendukung generasi mudanya INDONESIA, menjadi lebih baik n benar kedepannya, majulah terus KITA akan bahagia -😎😆sebagai SDM yg kwalitas tinggi 🙏👍,-",positif
"mantap pak menteri pendidikan 👍,😎🙏,-",positif
"keren banget, bangga punya mas mentri sebagai pencetus kebijakan sekeren ini",positif
mantap saya dukung,positif
"biar pernah kerja di dunia nyata, selama ini kan jurusan filsafat kuliahnya jarang praktek n ilmunya teoritis",positif
"wah keren, pembaruan untuk pendidikan indonesia. wajib didukung",positif
makanya program ini bisa sebagai alternatif jikalau cita2 anda tidak terkabulkan (kecuali kalo anda bersikeras),positif
"enak banget nih bisa magang bisa riset, banyak pilihan. sukses buat mas mentri",positif
wah seru ya\\n,positif
Maju terus pendidikan Indonesia\\n,positif
"semangat bakal jadi kebijakan yg sukses, mantap\\n",positif
"Di Tunggu Payung Hukumnya, supaya kampus bisa segera menerapkan kebijakan Kampus Merdeka.",positif
"seru nih pasti, keahlian lebih terasah n banyak pengalaman yg didapat saat lulus",positif
Mantab,positif
Terus berkarya mas menteri. Harapan baru untuk sistem pendidikan yg baru..,positif
semoga sistem ini jadi. kita coba paradigma baru.!!!,positif
Kementrian tenaga kerja sudah banyak cara membentuk orang yg siap kerja yg harusnya melalui pelatihan pemventukan tenaga kerja yg siap mandiri.,positif
Ini konsep yg baik n semoga bisa dilaksanakan dengan baik juga,positif
"Saya mendengarkan keseluruhan diskusi bersama bapak Mentri, inspiratif n memberikan banyak pikiran2 yg luar biasa. Saya optimis dengan kepemimpinan mas Mentri 😊 Pendidikan Indonesia Jaya 😉",positif
sukses buat mas mentri,positif
"KITA akan menjadi leadership yg handal kedepan, itulah generasi yg kita harapkan amin,🙏,",positif
Efisien  Efektif professional (piawai )di bidangnya masing masing 😎😆😀🙏👍,positif
"KITA mendukung generasi mudanya INDONESIA, menjadi lebih baik n benar kedepannya, majulah terus KITA akan bahagia -😎😆sebagai SDM yg kwalitas tinggi 🙏👍,-",positif
Semoga Indonesia Semakin membaik....\\n,positif
Terimakasih Pak Menteri... STIE Mars yg ada di kota kecil bisa ikut Kampus Merdeka..,positif
"keren sih, mantap banget. yg penting semuanya ikut dukung\\n",positif
Kapan terealisasi pak... kami mahasiswa ipb sangat menunggu....,positif
"Pembaruan🙂🙂🙂 Maju, semangat n kreatif✏️✏️✏️",positif
Saya sangat bangga dengan menteri pendidikan n kebudayaan sekarang n saya sangat berharap kepada pak Nadiem n saya yakin bapak orang yg tepat.,positif
Bersyukur banget punya mas mentri yg cara berpikirnya 1000 langkah ke depan Ini dia pendidikan setara!,positif
"Nah, sy berharap mhs non pendidikan bisa mengambil PPG, semacam AKTA mengajar di PT lain.",positif
"Luar biasa, angkat topi untuk mas Menteri🙏",positif
Saya dukung totalitas,positif
"Keren program programnya pak😍 Dengan konsep yg bagus, semoga SDM nya pun dapat Mumpuni, Unggul, eksis di Panggung dunia. 🙏",positif
Hidup Mahasiswa! Hidup Rakyat Indonesia!,positif
"seru nih, yakin akan sukses. pencetusnya saja orang yg luar biasa, ayo kawan kawan jgn buat kesempatan emas ini terbuang sia sia",positif
terbaik mentri yg saya kenal... Selaku dosen saya sangat apresiasi kebijakan ini Bagi yg apresiasi juga n pengen kampusnya segera merespon,positif
"Terima kasih telah membawa angin segar ke dunia pendidikan. Dari dulu saya enggan kuliah karena tahu gimana kurang apiknya pendidikan di Indonesia, dilihat dari OSPEK aja harus yg aneh aneh. Semoga semuanya berhenti dengan hal hal aneh, n kembali ke hal yg serius gol nya mau kemana. ",positif
"Memang, pikiran pikiran tidak biasa n segar yg dimiliki mahasiswa n pemuda kita harus terus menerus dibenturkan n dihadapkan dengan persoalan nyata. Betul betul menyegarkan pikiran n semangat saya kembali. Semoga sukses selalu, Mas Menteri!",positif
Dengan program ini pasti sukses deh buat para mahasiswa. Karena seimbang antaa teori n praktek nya. Kerenn,positif
Luar biasa memberi semangat baru n semangat baru untuk berubah\\n,positif
"mantap, bangga jadi rakyat indonesia. pendidikan menuju ke arah lebih baik",positif
"KITA akan menjadi leadership yg handal kedepan, itulah generasi yg kita harapkan anin,🙏,",positif
"mantap pak menteri pendidikan 👍,😎🙏,-",positif
"saya mahasiswa teknik sangat setuju dengan program ini, semangat Bapak Mendikbud💪",positif
luar biasa mas nadiem,positif
Terima kasih. Semoga makin semangat berkarya.,positif
Mendikbud terkeren.,positif
ini kebijakan keren n harus didukung secara penuh menurut saya,positif
Baik Mas mentri.. kita kerahkan sumber daya yg ada.\\n,positif
dukung selalu,positif
MANTAB MAS MENTERI.... Cara Berfikir REVOLUSIONER 👍🤲🙏🏻 SEMOGA INDONESIA AKAN BERJAYA DI 2035,positif
"KITA akan menjadi leadership yg handal kedepan, itulah generasi yg kita harapkan anin,🙏,",positif
"KITA mendukung generasi mudanya INDONESIA, menjadi lebih baik n benar kedepannya, majulah terus KITA akan bahagia -😎😆sebagai SDM yg kwalitas tinggi 🙏👍,-",positif
"mantap pak menteri pendidikan 👍,😎🙏,-",positif
"Aturan barunya bagus pak nadiem, temen2 dosen banyak yg seneng. ",positif
JOSS... Pak menteri membawa angin segar,positif
"KITA akan menjadi leadership yg handal kedepan, itulah generasi yg kita harapkan anin,🙏,",positif
Efisien  Efektif professional (piawai )di bidangnya masing masing 😎😆😀🙏👍,positif
"KITA mendukung generasi mudanya INDONESIA, menjadi lebih baik n benar kedepannya, majulah terus KITA akan bahagia -😎😆sebagai SDM yg kwalitas tinggi 🙏👍,-",positif
"Bener bener,, menteri pendidikannya brilian,,, selama ini menteri pendidikannya sll berusaha tua jadi tdk ada perkembangan pendidikan Yg signifikan,,, ini Demi masa depan generasi kita,, pemikiran sangat brilian menteri pendidikannya",positif
"Yeah saya setuju, pas banget pak saya mau pkm",positif
"DI era Pak Nadiem, mahasiswa/ pelajar benar-benar jadi prioritas\\n",positif
Ide brilian mendikbud!,positif
"Melihat Program Kampus merdeka, hati ini haru,  majulah Indonesia ku\\n",positif
Terdengar inovatif n menjanjikan Mas Mentri! Semoga terlaksana secepatnya,positif
Mantap aku sangat setuju pak 👍,positif
sudah harus ditingkatkan sistem pendidikan kita. MANTAP KALI PENJELASANNYA ! SEMOGA NKRI CEPAT MAJU KARNA GENERASINYA MILITAN !,positif
"cemerlang Bro benar2 BIJAKSANA Bro sistem nya super BERKWALITAS , ini era teknologi canggih era digital, era anak2 muda CERDAS MILENIAL NKRI BANGKIT MAJU terus, perubahan yg BERKWALITAS. PUSING KEPALA sekolah yg tidak  MAMPU Dibidang teknologi canggih kebingungan, Karena mengejar kemajuan yg harus cepat tepat n BERKWALITAS KARENA target nya harus transparansi Mampu BERSAING BERKOMPETISI dengan dunia global.",positif
jujur saya senang sekali dg dunia Akademik yg sayangnya saya udah lepas dari status Mahasiswa.. saya cuma berpesan ke pak menteri utk membuat pembelajaran seumur hidup apalagi di era disruptif seperti saat ini..,positif
"Presentasi yg sangat menarik. Kebijakan kebijakan yg sangat menggiurkan pemikiran progresif Pak Nadiem demi kemajuan pendidikan Indonesia. Mendengarnya saya optimis, semoga gayung bersambut dengan upaya upaya riil di lapangan.",positif
Senang mendapat peneguhan mas menteri.,positif
